INFO:root:Episode 0 | Avg Reward: 10.00 | Epsilon: 1.000 | Win Rate: 100.00%
INFO:root:Episode 10 | Avg Reward: 2.73 | Epsilon: 1.000 | Win Rate: 72.73%
INFO:root:Episode 20 | Avg Reward: -5.24 | Epsilon: 0.904 | Win Rate: 47.62%
INFO:root:Episode 30 | Avg Reward: -5.16 | Epsilon: 0.818 | Win Rate: 51.61%
INFO:root:Episode 40 | Avg Reward: -6.83 | Epsilon: 0.740 | Win Rate: 48.78%
INFO:root:Episode 50 | Avg Reward: -3.73 | Epsilon: 0.669 | Win Rate: 56.86%
INFO:root:Episode 60 | Avg Reward: -5.25 | Epsilon: 0.605 | Win Rate: 55.74%
INFO:root:Episode 70 | Avg Reward: -6.06 | Epsilon: 0.547 | Win Rate: 52.11%
INFO:root:Episode 80 | Avg Reward: -6.30 | Epsilon: 0.495 | Win Rate: 51.85%
INFO:root:Episode 90 | Avg Reward: -5.71 | Epsilon: 0.448 | Win Rate: 52.75%
INFO:root:Episode 100 | Avg Reward: -4.60 | Epsilon: 0.405 | Win Rate: 54.00%
INFO:root:Episode 110 | Avg Reward: -3.30 | Epsilon: 0.366 | Win Rate: 57.00%
INFO:root:Episode 120 | Avg Reward: -3.00 | Epsilon: 0.331 | Win Rate: 62.00%
INFO:root:Episode 130 | Avg Reward: -2.70 | Epsilon: 0.299 | Win Rate: 63.00%
INFO:root:Episode 140 | Avg Reward: -0.30 | Epsilon: 0.271 | Win Rate: 68.00%
INFO:root:Episode 150 | Avg Reward: -1.90 | Epsilon: 0.245 | Win Rate: 66.00%
INFO:root:Episode 160 | Avg Reward: -2.60 | Epsilon: 0.221 | Win Rate: 68.00%
INFO:root:Episode 170 | Avg Reward: -2.70 | Epsilon: 0.200 | Win Rate: 70.00%
INFO:root:Episode 180 | Avg Reward: -1.90 | Epsilon: 0.181 | Win Rate: 73.00%
INFO:root:Episode 190 | Avg Reward: -4.70 | Epsilon: 0.164 | Win Rate: 74.00%
INFO:root:Episode 200 | Avg Reward: -5.20 | Epsilon: 0.148 | Win Rate: 74.00%
INFO:root:Episode 210 | Avg Reward: -7.80 | Epsilon: 0.134 | Win Rate: 72.00%
INFO:root:Episode 220 | Avg Reward: -8.10 | Epsilon: 0.121 | Win Rate: 71.00%
INFO:root:Episode 230 | Avg Reward: -6.30 | Epsilon: 0.110 | Win Rate: 74.00%
INFO:root:Episode 240 | Avg Reward: -8.80 | Epsilon: 0.099 | Win Rate: 74.00%
INFO:root:Episode 250 | Avg Reward: -7.70 | Epsilon: 0.090 | Win Rate: 75.00%
INFO:root:Episode 260 | Avg Reward: -5.20 | Epsilon: 0.081 | Win Rate: 76.00%
INFO:root:Episode 270 | Avg Reward: -2.90 | Epsilon: 0.073 | Win Rate: 81.00%
INFO:root:Episode 280 | Avg Reward: -2.50 | Epsilon: 0.066 | Win Rate: 81.00%
INFO:root:Episode 290 | Avg Reward: 0.10 | Epsilon: 0.060 | Win Rate: 82.00%
INFO:root:Episode 300 | Avg Reward: -0.10 | Epsilon: 0.054 | Win Rate: 83.00%
INFO:root:Episode 310 | Avg Reward: 2.10 | Epsilon: 0.049 | Win Rate: 85.00%
INFO:root:Episode 320 | Avg Reward: 3.80 | Epsilon: 0.044 | Win Rate: 86.00%
INFO:root:Episode 330 | Avg Reward: 2.60 | Epsilon: 0.040 | Win Rate: 84.00%
INFO:root:Episode 340 | Avg Reward: 2.90 | Epsilon: 0.036 | Win Rate: 81.00%
INFO:root:Episode 350 | Avg Reward: 3.40 | Epsilon: 0.033 | Win Rate: 82.00%
INFO:root:Episode 360 | Avg Reward: 0.40 | Epsilon: 0.030 | Win Rate: 80.00%
INFO:root:Episode 370 | Avg Reward: 0.30 | Epsilon: 0.027 | Win Rate: 80.00%
INFO:root:Episode 380 | Avg Reward: 1.40 | Epsilon: 0.024 | Win Rate: 82.00%
INFO:root:Episode 390 | Avg Reward: 2.80 | Epsilon: 0.022 | Win Rate: 84.00%
INFO:root:Episode 400 | Avg Reward: 3.20 | Epsilon: 0.020 | Win Rate: 84.00%
INFO:root:Episode 410 | Avg Reward: 4.10 | Epsilon: 0.018 | Win Rate: 84.00%
INFO:root:Episode 420 | Avg Reward: 4.20 | Epsilon: 0.016 | Win Rate: 85.00%
INFO:root:Episode 430 | Avg Reward: 4.80 | Epsilon: 0.015 | Win Rate: 87.00%
INFO:root:Episode 440 | Avg Reward: 6.80 | Epsilon: 0.013 | Win Rate: 91.00%
INFO:root:Episode 450 | Avg Reward: 5.60 | Epsilon: 0.012 | Win Rate: 89.00%
